"word","variant","entry_url","gloss","video_url","match_confidence","notes"
"family","1","https://bslsignbank.ucl.ac.uk/dictionary/words/family-1.html","FAMILY","https://bslsignbank.ucl.ac.uk/media/bsl-video/FA/FAMILY.mp4","high","exact keyword match"
"family","2","https://bslsignbank.ucl.ac.uk/dictionary/words/family-2.html","FAMILY2","https://bslsignbank.ucl.ac.uk/media/bsl-video/FA/FAMILY2.mp4","high","regional variant"
"father","1","https://bslsignbank.ucl.ac.uk/dictionary/words/father-1.html","DADDY","https://bslsignbank.ucl.ac.uk/media/bsl-video/DA/DADDY.mp4","high","keyword 'father'; gloss DADDY (informal register, same concept)"
"father","2","https://bslsignbank.ucl.ac.uk/dictionary/words/father-2.html","FATHER","https://bslsignbank.ucl.ac.uk/media/bsl-video/FA/FATHER.mp4","high","exact keyword match; variant 3 (gloss PRIEST, 'father' in religious sense) rejected"
"friend","1","https://bslsignbank.ucl.ac.uk/dictionary/words/friend-1.html","FRIEND","https://bslsignbank.ucl.ac.uk/media/bsl-video/FR/FRIEND.mp4","high","exact keyword match"
"friend","2","https://bslsignbank.ucl.ac.uk/dictionary/words/friend-2.html","PARTNER","https://bslsignbank.ucl.ac.uk/media/bsl-video/PA/PARTNER.mp4","medium","keyword 'friend'; gloss PARTNER (related sense)"
"go","1","https://bslsignbank.ucl.ac.uk/dictionary/words/go-1.html","FROM-TO","https://bslsignbank.ucl.ac.uk/media/bsl-video/FR/FROM-TO.mp4","medium","keyword 'go'; gloss FROM-TO (directional sign)"
"go","2","https://bslsignbank.ucl.ac.uk/dictionary/words/go-2.html","GO","https://bslsignbank.ucl.ac.uk/media/bsl-video/GO/GO.mp4","high","exact keyword match; canonical GO gloss"
"go","3","https://bslsignbank.ucl.ac.uk/dictionary/words/go-3.html","GO2","https://bslsignbank.ucl.ac.uk/media/bsl-video/GO/GO2.mp4","high","regional variant; site lists 6 variants total, first 3 recorded"
"good","1","https://bslsignbank.ucl.ac.uk/dictionary/words/good-1.html","FANTASTIC","https://bslsignbank.ucl.ac.uk/media/bsl-video/FA/FANTASTIC.mp4","medium","keyword 'good'; gloss FANTASTIC (intensified sense)"
"good","2","https://bslsignbank.ucl.ac.uk/dictionary/words/good-2.html","GOOD","https://bslsignbank.ucl.ac.uk/media/bsl-video/GO/GOOD.mp4","high","exact keyword match; canonical GOOD gloss"
"good","3","https://bslsignbank.ucl.ac.uk/dictionary/words/good-3.html","GOOD2","https://bslsignbank.ucl.ac.uk/media/bsl-video/GO/GOOD2.mp4","high","regional variant; site lists 4 variants total"
"goodbye","1","https://bslsignbank.ucl.ac.uk/dictionary/words/good%20bye-1.html","WAVE-HAND","https://bslsignbank.ucl.ac.uk/media/bsl-video/WA/WAVE-HAND.mp4","medium","vocab 'goodbye' has no SignBank keyword; matched keyword 'good bye' (two words); gloss WAVE-HAND; same video listed under 'hello' variant 2"
"happy","1","https://bslsignbank.ucl.ac.uk/dictionary/words/happy-1.html","HAPPY","https://bslsignbank.ucl.ac.uk/media/bsl-video/HA/HAPPY.mp4","high","exact keyword match"
"happy","2","https://bslsignbank.ucl.ac.uk/dictionary/words/happy-2.html","JUMP-FOR-JOY","https://bslsignbank.ucl.ac.uk/media/bsl-video/JU/JUMP-FOR-JOY.mp4","medium","keyword 'happy'; gloss JUMP-FOR-JOY (related sign)"
"hello","1","https://bslsignbank.ucl.ac.uk/dictionary/words/hello-1.html","HELLO","https://bslsignbank.ucl.ac.uk/media/bsl-video/HE/HELLO.mp4","high","exact keyword match"
"help","1","https://bslsignbank.ucl.ac.uk/dictionary/words/help-1.html","HELP","https://bslsignbank.ucl.ac.uk/media/bsl-video/HE/HELP.mp4","high","exact keyword match"
"help","2","https://bslsignbank.ucl.ac.uk/dictionary/words/help-2.html","HELP2","https://bslsignbank.ucl.ac.uk/media/bsl-video/HE/HELP2.mp4","high","regional variant"
"home","1","https://bslsignbank.ucl.ac.uk/dictionary/words/home-1.html","HOME","https://bslsignbank.ucl.ac.uk/media/bsl-video/HO/HOME.mp4","high","exact keyword match"
"home","2","https://bslsignbank.ucl.ac.uk/dictionary/words/home-2.html","HOME2","https://bslsignbank.ucl.ac.uk/media/bsl-video/HO/HOME2.mp4","high","regional variant"
"home","3","https://bslsignbank.ucl.ac.uk/dictionary/words/home-3.html","HOUSE","https://bslsignbank.ucl.ac.uk/media/bsl-video/HO/HOUSE.mp4","medium","keyword 'home'; gloss HOUSE; site lists 5 variants total"
"how","1","https://bslsignbank.ucl.ac.uk/dictionary/words/how-1.html","HOW","https://bslsignbank.ucl.ac.uk/media/bsl-video/HO/HOW.mp4","high","exact keyword match"
"how","2","https://bslsignbank.ucl.ac.uk/dictionary/words/how-2.html","HOW2","https://bslsignbank.ucl.ac.uk/media/bsl-video/HO/HOW2.mp4","high","regional variant"
"know","1","https://bslsignbank.ucl.ac.uk/dictionary/words/know-1.html","KNOW","https://bslsignbank.ucl.ac.uk/media/bsl-video/KN/KNOW.mp4","high","exact keyword match; single variant"
"like","1","https://bslsignbank.ucl.ac.uk/dictionary/words/like-1.html","ENJOY","https://bslsignbank.ucl.ac.uk/media/bsl-video/EN/ENJOY.mp4","medium","keyword 'like'; gloss ENJOY (preference sense)"
"like","2","https://bslsignbank.ucl.ac.uk/dictionary/words/like-2.html","ENJOY2","https://bslsignbank.ucl.ac.uk/media/bsl-video/EN/ENJOY2.mp4","medium","keyword 'like'; gloss ENJOY2 (preference sense)"
"like","4","https://bslsignbank.ucl.ac.uk/dictionary/words/like-4.html","LIKE","https://bslsignbank.ucl.ac.uk/media/bsl-video/LI/LIKE.mp4","high","exact keyword match; canonical LIKE gloss; site lists 6 variants - FAVOUR (v3) and SAME/SAME2 (v5-6, similarity sense) not recorded"
"look","1","https://bslsignbank.ucl.ac.uk/dictionary/words/look-1.html","LOOK","https://bslsignbank.ucl.ac.uk/media/bsl-video/LO/LOOK.mp4","high","exact keyword match"
"look","2","https://bslsignbank.ucl.ac.uk/dictionary/words/look-2.html","LOOK2","https://bslsignbank.ucl.ac.uk/media/bsl-video/LO/LOOK2.mp4","high","regional variant"
"look","3","https://bslsignbank.ucl.ac.uk/dictionary/words/look-3.html","VIEW","https://bslsignbank.ucl.ac.uk/media/bsl-video/VI/VIEW.mp4","medium","keyword 'look'; gloss VIEW (related sign)"
"love","1","https://bslsignbank.ucl.ac.uk/dictionary/words/love-1.html","CHERISH","https://bslsignbank.ucl.ac.uk/media/bsl-video/CH/CHERISH.mp4","medium","keyword 'love'; gloss CHERISH (related sign)"
"love","2","https://bslsignbank.ucl.ac.uk/dictionary/words/love-2.html","FAVOUR","https://bslsignbank.ucl.ac.uk/media/bsl-video/FA/FAVOUR.mp4","medium","keyword 'love'; gloss FAVOUR; same video listed under 'like' variant 3"
"love","3","https://bslsignbank.ucl.ac.uk/dictionary/words/love-3.html","LOVE","https://bslsignbank.ucl.ac.uk/media/bsl-video/LO/LOVE.mp4","high","exact keyword match; canonical LOVE gloss; site lists 4 variants, first 3 recorded"
"make","1","https://bslsignbank.ucl.ac.uk/dictionary/words/make-1.html","CREATE","https://bslsignbank.ucl.ac.uk/media/bsl-video/CR/CREATE.mp4","medium","keyword 'make'; gloss CREATE (related sign)"
"make","2","https://bslsignbank.ucl.ac.uk/dictionary/words/make-2.html","MAKE","https://bslsignbank.ucl.ac.uk/media/bsl-video/MA/MAKE.mp4","high","exact keyword match; canonical MAKE gloss"
"money","1","https://bslsignbank.ucl.ac.uk/dictionary/words/money-1.html","MONEY","https://bslsignbank.ucl.ac.uk/media/bsl-video/MO/MONEY.mp4","high","exact keyword match"
"money","2","https://bslsignbank.ucl.ac.uk/dictionary/words/money-2.html","MONEY2","https://bslsignbank.ucl.ac.uk/media/bsl-video/MO/MONEY2.mp4","high","regional variant"
"money","3","https://bslsignbank.ucl.ac.uk/dictionary/words/money-3.html","MONEY3","https://bslsignbank.ucl.ac.uk/media/bsl-video/MO/MONEY3.mp4","high","regional variant; site lists 4 variants total"
"morning","1","https://bslsignbank.ucl.ac.uk/dictionary/words/morning-1.html","MORNING","https://bslsignbank.ucl.ac.uk/media/bsl-video/MO/MORNING.mp4","high","exact keyword match"
"morning","2","https://bslsignbank.ucl.ac.uk/dictionary/words/morning-2.html","MORNING2","https://bslsignbank.ucl.ac.uk/media/bsl-video/MO/MORNING2.mp4","high","regional variant"
"morning","3","https://bslsignbank.ucl.ac.uk/dictionary/words/morning-3.html","MORNING3","https://bslsignbank.ucl.ac.uk/media/bsl-video/MO/MORNING3.mp4","high","regional variant"
"mother","1","https://bslsignbank.ucl.ac.uk/dictionary/words/mother-1.html","MOTHER","https://bslsignbank.ucl.ac.uk/media/bsl-video/MO/MOTHER.mp4","high","exact keyword match"
"mother","2","https://bslsignbank.ucl.ac.uk/dictionary/words/mother-2.html","MUM","https://bslsignbank.ucl.ac.uk/media/bsl-video/MU/MUM.mp4","high","keyword 'mother'; gloss MUM (informal register, same concept)"
"need","1","https://bslsignbank.ucl.ac.uk/dictionary/words/need-1.html","WANT","https://bslsignbank.ucl.ac.uk/media/bsl-video/WA/WANT.mp4","medium","keyword 'need'; gloss WANT (BSL uses same sign for want/need); single variant"
"no","1","https://bslsignbank.ucl.ac.uk/dictionary/words/no-1.html","NO","https://bslsignbank.ucl.ac.uk/media/bsl-video/NO/NO.mp4","high","exact keyword match"
"no","2","https://bslsignbank.ucl.ac.uk/dictionary/words/no-2.html","NO2","https://bslsignbank.ucl.ac.uk/media/bsl-video/NO/NO2.mp4","high","regional variant"
"no","3","https://bslsignbank.ucl.ac.uk/dictionary/words/no-3.html","NOT","https://bslsignbank.ucl.ac.uk/media/bsl-video/NO/NOT.mp4","medium","keyword 'no'; gloss NOT (negation sign); site lists 4 variants total"
"please","1","https://bslsignbank.ucl.ac.uk/dictionary/words/please-1.html","PLEASE","https://bslsignbank.ucl.ac.uk/media/bsl-video/PL/PLEASE.mp4","high","exact keyword match; single variant"
"sad","1","https://bslsignbank.ucl.ac.uk/dictionary/words/sad-1.html","DEPRESSED","https://bslsignbank.ucl.ac.uk/media/bsl-video/DE/DEPRESSED.mp4","medium","keyword 'sad'; gloss DEPRESSED (related sign)"
"sad","2","https://bslsignbank.ucl.ac.uk/dictionary/words/sad-2.html","SAD","https://bslsignbank.ucl.ac.uk/media/bsl-video/SA/SAD.mp4","high","exact keyword match; canonical SAD gloss"
"school","1","https://bslsignbank.ucl.ac.uk/dictionary/words/school-1.html","SCHOOL","https://bslsignbank.ucl.ac.uk/media/bsl-video/SC/SCHOOL.mp4","high","exact keyword match"
"school","2","https://bslsignbank.ucl.ac.uk/dictionary/words/school-2.html","SCHOOL2","https://bslsignbank.ucl.ac.uk/media/bsl-video/SC/SCHOOL2.mp4","high","regional variant"
"school","3","https://bslsignbank.ucl.ac.uk/dictionary/words/school-3.html","SCHOOL3","https://bslsignbank.ucl.ac.uk/media/bsl-video/SC/SCHOOL3.mp4","high","regional variant"
"sister","1","https://bslsignbank.ucl.ac.uk/dictionary/words/sister-1.html","SISTER","https://bslsignbank.ucl.ac.uk/media/bsl-video/SI/SISTER.mp4","high","exact keyword match; single variant"
"sleep","1","https://bslsignbank.ucl.ac.uk/dictionary/words/sleep-1.html","SLEEP","https://bslsignbank.ucl.ac.uk/media/bsl-video/SL/SLEEP.mp4","high","exact keyword match"
"sleep","2","https://bslsignbank.ucl.ac.uk/dictionary/words/sleep-2.html","SLEEP2","https://bslsignbank.ucl.ac.uk/media/bsl-video/SL/SLEEP2.mp4","high","regional variant"
"sleep","3","https://bslsignbank.ucl.ac.uk/dictionary/words/sleep-3.html","SLEEP3","https://bslsignbank.ucl.ac.uk/media/bsl-video/SL/SLEEP3.mp4","high","regional variant; site lists 4 variants total"
"sorry","1","https://bslsignbank.ucl.ac.uk/dictionary/words/sorry-1.html","SORRY","https://bslsignbank.ucl.ac.uk/media/bsl-video/SO/SORRY.mp4","high","exact keyword match"
"sorry","2","https://bslsignbank.ucl.ac.uk/dictionary/words/sorry-2.html","SORRY2","https://bslsignbank.ucl.ac.uk/media/bsl-video/SO/SORRY2.mp4","high","regional variant"
"sorry","3","https://bslsignbank.ucl.ac.uk/dictionary/words/sorry-3.html","SORRY3","https://bslsignbank.ucl.ac.uk/media/bsl-video/SO/SORRY3.mp4","high","regional variant"
"stop","1","https://bslsignbank.ucl.ac.uk/dictionary/words/stop-1.html","FINISH2","https://bslsignbank.ucl.ac.uk/media/bsl-video/FI/FINISH2.mp4","medium","keyword 'stop'; gloss FINISH2 (BSL 'finish' sign covers stop); no STOP-glossed entry exists"
"stop","2","https://bslsignbank.ucl.ac.uk/dictionary/words/stop-2.html","FINISH3","https://bslsignbank.ucl.ac.uk/media/bsl-video/FI/FINISH3.mp4","medium","keyword 'stop'; gloss FINISH3"
"stop","3","https://bslsignbank.ucl.ac.uk/dictionary/words/stop-3.html","FINISH4","https://bslsignbank.ucl.ac.uk/media/bsl-video/FI/FINISH4.mp4","medium","keyword 'stop'; gloss FINISH4; site lists 5 variants (FINISH5, G-RIGHT not recorded)"
"thank-you","1","https://bslsignbank.ucl.ac.uk/dictionary/words/thank%20you-1.html","THANK","https://bslsignbank.ucl.ac.uk/media/bsl-video/TH/THANK.mp4","high","vocab 'thank-you' searched as 'thank you'; exact keyword match; single variant"
"think","1","https://bslsignbank.ucl.ac.uk/dictionary/words/think-1.html","IDEA","https://bslsignbank.ucl.ac.uk/media/bsl-video/ID/IDEA.mp4","medium","keyword 'think'; gloss IDEA (related sign)"
"think","2","https://bslsignbank.ucl.ac.uk/dictionary/words/think-2.html","IDEA2","https://bslsignbank.ucl.ac.uk/media/bsl-video/ID/IDEA2.mp4","medium","keyword 'think'; gloss IDEA2 (related sign)"
"think","3","https://bslsignbank.ucl.ac.uk/dictionary/words/think-3.html","THINK","https://bslsignbank.ucl.ac.uk/media/bsl-video/TH/THINK.mp4","high","exact keyword match; canonical THINK gloss; site lists 4 variants total"
"tired","1","https://bslsignbank.ucl.ac.uk/dictionary/words/tired-1.html","TIRED","https://bslsignbank.ucl.ac.uk/media/bsl-video/TI/TIRED.mp4","high","exact keyword match; single variant"
"today","1","https://bslsignbank.ucl.ac.uk/dictionary/words/today-1.html","NOW","https://bslsignbank.ucl.ac.uk/media/bsl-video/NO/NOW.mp4","medium","keyword 'today'; gloss NOW (BSL uses same sign for now/today); single variant"
"toilet","1","https://bslsignbank.ucl.ac.uk/dictionary/words/toilet-1.html","TOILET","https://bslsignbank.ucl.ac.uk/media/bsl-video/TO/TOILET.mp4","high","exact keyword match"
"toilet","2","https://bslsignbank.ucl.ac.uk/dictionary/words/toilet-2.html","TOILET2","https://bslsignbank.ucl.ac.uk/media/bsl-video/TO/TOILET2.mp4","high","regional variant"
"toilet","3","https://bslsignbank.ucl.ac.uk/dictionary/words/toilet-3.html","TOILET3","https://bslsignbank.ucl.ac.uk/media/bsl-video/TO/TOILET3.mp4","high","regional variant; site lists 7 variants total, first 3 recorded"
"understand","1","https://bslsignbank.ucl.ac.uk/dictionary/words/understand-1.html","UNDERSTAND","https://bslsignbank.ucl.ac.uk/media/bsl-video/UN/UNDERSTAND.mp4","high","exact keyword match"
"understand","2","https://bslsignbank.ucl.ac.uk/dictionary/words/understand-2.html","UNDERSTAND2","https://bslsignbank.ucl.ac.uk/media/bsl-video/UN/UNDERSTAND2.mp4","high","regional variant"
"water","7","https://bslsignbank.ucl.ac.uk/dictionary/words/water-7.html","WATER","https://bslsignbank.ucl.ac.uk/media/bsl-video/WA/WATER.mp4","high","exact keyword match; canonical WATER gloss; site lists 9 variants - variants 1-6 are other signs sharing keyword 'water' (DESIRE, DRINK, SAUCE, SEA, TAP, THIRSTY) rejected as different senses"
"water","8","https://bslsignbank.ucl.ac.uk/dictionary/words/water-8.html","WATER4","https://bslsignbank.ucl.ac.uk/media/bsl-video/WA/WATER4.mp4","high","regional variant"
"water","9","https://bslsignbank.ucl.ac.uk/dictionary/words/water-9.html","WATER5","https://bslsignbank.ucl.ac.uk/media/bsl-video/WA/WATER5.mp4","high","regional variant"
"week","1","https://bslsignbank.ucl.ac.uk/dictionary/words/week-1.html","WEEK","https://bslsignbank.ucl.ac.uk/media/bsl-video/WE/WEEK.mp4","high","exact keyword match"
"week","2","https://bslsignbank.ucl.ac.uk/dictionary/words/week-2.html","WEEK2","https://bslsignbank.ucl.ac.uk/media/bsl-video/WE/WEEK2.mp4","high","regional variant"
"what","1","https://bslsignbank.ucl.ac.uk/dictionary/words/what-1.html","WHAT","https://bslsignbank.ucl.ac.uk/media/bsl-video/WH/WHAT.mp4","high","exact keyword match; single variant; same video also listed under 'why' variant 1"
"where","1","https://bslsignbank.ucl.ac.uk/dictionary/words/where-1.html","WHERE","https://bslsignbank.ucl.ac.uk/media/bsl-video/WH/WHERE.mp4","high","exact keyword match; single variant"
"who","1","https://bslsignbank.ucl.ac.uk/dictionary/words/who-1.html","WHO","https://bslsignbank.ucl.ac.uk/media/bsl-video/WH/WHO.mp4","high","exact keyword match"
"who","2","https://bslsignbank.ucl.ac.uk/dictionary/words/who-2.html","WHO2","https://bslsignbank.ucl.ac.uk/media/bsl-video/WH/WHO2.mp4","high","regional variant"
"who","3","https://bslsignbank.ucl.ac.uk/dictionary/words/who-3.html","WHO3","https://bslsignbank.ucl.ac.uk/media/bsl-video/WH/WHO3.mp4","high","regional variant"
"why","2","https://bslsignbank.ucl.ac.uk/dictionary/words/why-2.html","WHY","https://bslsignbank.ucl.ac.uk/media/bsl-video/WH/WHY.mp4","high","exact keyword match; canonical WHY gloss"
"work","1","https://bslsignbank.ucl.ac.uk/dictionary/words/work-1.html","WORK","https://bslsignbank.ucl.ac.uk/media/bsl-video/WO/WORK.mp4","high","exact keyword match; single variant"
"yes","1","https://bslsignbank.ucl.ac.uk/dictionary/words/yes-1.html","YES","https://bslsignbank.ucl.ac.uk/media/bsl-video/YE/YES.mp4","high","exact keyword match"
"yes","2","https://bslsignbank.ucl.ac.uk/dictionary/words/yes-2.html","YES2","https://bslsignbank.ucl.ac.uk/media/bsl-video/YE/YES2.mp4","high","regional variant"
"yesterday","1","https://bslsignbank.ucl.ac.uk/dictionary/words/yesterday-1.html","YESTERDAY","https://bslsignbank.ucl.ac.uk/media/bsl-video/YE/YESTERDAY.mp4","high","exact keyword match"
"yesterday","2","https://bslsignbank.ucl.ac.uk/dictionary/words/yesterday-2.html","YESTERDAY2","https://bslsignbank.ucl.ac.uk/media/bsl-video/YE/YESTERDAY2.mp4","high","regional variant"
